Sat Jan 11 00:16:14 2020       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 418.40.04    Driver Version: 418.40.04    CUDA Version: 10.1     |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla V100-SXM2...  Off  | 00000000:89:00.0 Off |                    0 |
| N/A   30C    P0    55W / 300W |      0MiB / 32480MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
Using device: cuda
/users/40160005/gridware/share/python/3.6.4/lib/python3.6/site-packages/torch/optim/lr_scheduler.py:100: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule.See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
Epoch 001 [1/255]: Loss: 5.3536 Acc: 0.0312 (5.91s)
Epoch 001 [2/255]: Loss: 5.2565 Acc: 0.0312 (6.29s)
Epoch 001 [3/255]: Loss: 5.3022 Acc: 0.0208 (6.61s)
Epoch 001 [4/255]: Loss: 5.3368 Acc: 0.0156 (6.98s)
Epoch 001 [5/255]: Loss: 5.3326 Acc: 0.0125 (7.35s)
Epoch 001 [6/255]: Loss: 5.3343 Acc: 0.0104 (7.70s)
Epoch 001 [7/255]: Loss: 5.3193 Acc: 0.0089 (8.09s)
Epoch 001 [8/255]: Loss: 5.3146 Acc: 0.0078 (8.42s)
Epoch 001 [9/255]: Loss: 5.3226 Acc: 0.0069 (8.78s)
Epoch 001 [10/255]: Loss: 5.3296 Acc: 0.0063 (9.16s)
Epoch 001 [11/255]: Loss: 5.3310 Acc: 0.0057 (9.51s)
Epoch 001 [12/255]: Loss: 5.3277 Acc: 0.0052 (9.90s)
Epoch 001 [13/255]: Loss: 5.3246 Acc: 0.0048 (10.38s)
Epoch 001 [14/255]: Loss: 5.3205 Acc: 0.0045 (10.77s)
Epoch 001 [15/255]: Loss: 5.3214 Acc: 0.0042 (11.14s)
Epoch 001 [16/255]: Loss: 5.3174 Acc: 0.0039 (11.51s)
Epoch 001 [17/255]: Loss: 5.3180 Acc: 0.0037 (11.89s)
Epoch 001 [18/255]: Loss: 5.3174 Acc: 0.0035 (12.24s)
Epoch 001 [19/255]: Loss: 5.3157 Acc: 0.0033 (12.59s)
Epoch 001 [20/255]: Loss: 5.3136 Acc: 0.0031 (12.91s)
Epoch 001 [21/255]: Loss: 5.3129 Acc: 0.0030 (13.30s)
Epoch 001 [22/255]: Loss: 5.3107 Acc: 0.0028 (13.69s)
Epoch 001 [23/255]: Loss: 5.3093 Acc: 0.0041 (14.03s)
Epoch 001 [24/255]: Loss: 5.3061 Acc: 0.0039 (14.42s)
Epoch 001 [25/255]: Loss: 5.3034 Acc: 0.0037 (14.81s)
Epoch 001 [26/255]: Loss: 5.3038 Acc: 0.0036 (15.20s)
Epoch 001 [27/255]: Loss: 5.3028 Acc: 0.0035 (15.55s)
Epoch 001 [28/255]: Loss: 5.3015 Acc: 0.0033 (15.93s)
Epoch 001 [29/255]: Loss: 5.3008 Acc: 0.0032 (16.30s)
Epoch 001 [30/255]: Loss: 5.2995 Acc: 0.0031 (16.68s)
Epoch 001 [31/255]: Loss: 5.3006 Acc: 0.0030 (17.10s)
Epoch 001 [32/255]: Loss: 5.3019 Acc: 0.0029 (17.43s)
Epoch 001 [33/255]: Loss: 5.3004 Acc: 0.0038 (19.02s)
Epoch 001 [34/255]: Loss: 5.2991 Acc: 0.0046 (19.36s)
Epoch 001 [35/255]: Loss: 5.2993 Acc: 0.0045 (19.69s)
Epoch 001 [36/255]: Loss: 5.2998 Acc: 0.0043 (19.99s)
Epoch 001 [37/255]: Loss: 5.2999 Acc: 0.0042 (20.25s)
Epoch 001 [38/255]: Loss: 5.2995 Acc: 0.0041 (20.54s)
Epoch 001 [39/255]: Loss: 5.2994 Acc: 0.0040 (20.84s)
Epoch 001 [40/255]: Loss: 5.2997 Acc: 0.0039 (21.17s)
Epoch 001 [41/255]: Loss: 5.2996 Acc: 0.0038 (21.51s)
Epoch 001 [42/255]: Loss: 5.2997 Acc: 0.0037 (21.86s)
Epoch 001 [43/255]: Loss: 5.2986 Acc: 0.0036 (22.18s)
Epoch 001 [44/255]: Loss: 5.2991 Acc: 0.0036 (22.52s)
Epoch 001 [45/255]: Loss: 5.2987 Acc: 0.0035 (23.07s)
Epoch 001 [46/255]: Loss: 5.2983 Acc: 0.0034 (23.39s)
Epoch 001 [47/255]: Loss: 5.2979 Acc: 0.0040 (23.73s)
Epoch 001 [48/255]: Loss: 5.2974 Acc: 0.0039 (24.10s)
Epoch 001 [49/255]: Loss: 5.2974 Acc: 0.0038 (24.45s)
Epoch 001 [50/255]: Loss: 5.2968 Acc: 0.0044 (24.80s)
Epoch 001 [51/255]: Loss: 5.2965 Acc: 0.0043 (25.19s)
Epoch 001 [52/255]: Loss: 5.2963 Acc: 0.0042 (25.52s)
Epoch 001 [53/255]: Loss: 5.2958 Acc: 0.0047 (25.85s)
Epoch 001 [54/255]: Loss: 5.2958 Acc: 0.0046 (26.20s)
Epoch 001 [55/255]: Loss: 5.2963 Acc: 0.0045 (26.59s)
Epoch 001 [56/255]: Loss: 5.2962 Acc: 0.0045 (26.92s)
